model	n_cohorts	HR_pooled	HR_lower_95CI	HR_upper_95CI	p_value	tau2	I2_pct	p_heterogeneity
fixed_effects	4	1.1005	0.9806	1.235	0.10385			
random_effects_DL	4	1.1104	0.9678	1.274	0.13553	0.0053	27.0	0.2498
